// Reset
0 1 0
// Push [10]
0 0 0
// Push [20, 10]
0 0 0
// Pop [10]
20 0 0
// Push [30, 10]
0 0 0
// Push [40, 30, 10]
0 0 0
// Pop [30, 10]
40 0 0
// Clear []
0 1 0
// Push [50]
0 0 0
// Pop []
50 1 0
// Push [60]
0 0 0
// Push [70, 60]
0 0 0
// Push [80, 70, 60]
0 0 0
// Push [90, 80, 70, 60]
0 0 0
// Push [100, 90, 80, 70, 60]
0 0 0
// Push [110, 100, 90, 80, 70, 60]
0 0 0
// Push [120, 110, 100, 90, 80, 70, 60]
0 0 0
// Push [130, 120, 110, 100, 90, 80, 70, 60]
0 0 1
// Pop [120, 110, 100, 90, 80, 70, 60]
130 0 0
// Push [140, 120, 110, 100, 90, 80, 70, 60]
0 0 1
// Clear []
0 1 0
// Push [150]
0 0 0
// Pop []
150 1 0
